Compound,m/z,Group ID
y7.1,764.460809,433.257882
y4.1,481.271217,433.257882
y6.1,707.439345,433.257882
y5.1,639.297449,600.792294
y8.1,954.440485,600.792294
y7.1,853.392806,600.792294
y6.1,738.365863,600.792294
y4.1,542.244685,600.792294
y9.1,1101.508898,600.792294
y5.1,650.3927,552.8032
y6.1,749.4611,552.8032
y7.1,878.5037,552.8032
y8.2,488.2819,552.8032
y8.1,975.5565,552.8032
b5.1,568.2977,552.8032
b6.1,681.3818,552.8032
b13.1,1513.6918,995.9461
b12.1,1400.6077,995.9461
b9.1,1009.4585,995.9461
b10.1,1172.5218,995.9461
b11.1,1286.5648,995.9461
y9.1,1119.4926,995.9461
y13.1,1548.6422,995.9461
y10.1,1234.5195,995.9461
y11.1,1363.5621,995.9461
y12.1,1491.6207,995.9461
y12.1,1416.5622,1069.4307
y9.1,1113.4555,1069.4307
y10.1,1228.4825,1069.4307
y11.1,1329.5302,1069.4307
b13.1,1515.6234,1069.4307
b10.1,1126.4535,1069.4307
b11.1,1254.5121,1069.4307
