Compound,m/z,Group ID
b8.1,881.363552,552.943879
y6.1,592.339631,552.943879
y7.1,663.376745,552.943879
b6.1,637.294016,552.943879
y4.1,422.234103,552.943879
b10.1,1065.48473,552.943879
b9.1,994.447616,552.943879
b7.1,766.336609,552.943879
y9.1,891.487752,552.943879
y8.1,776.460809,552.943879
y10.1,1020.530345,552.943879
y4.2,211.62069,552.943879
y5.1,658.365452,542.605309
y6.1,795.424364,542.605309
y10.2,599.303352,542.605309
y9.1,1110.567399,542.605309
y12.2,663.332641,542.605309
y7.1,908.508428,542.605309
b9.1,831.384287,542.605309
y8.1,1023.535371,542.605309
y9.2,555.787338,542.605309
y11.2,634.821909,542.605309
y13.2,727.361929,542.605309
y8.1,920.452764,544.264952
y7.1,791.41017,544.264952
y6.1,676.383227,544.264952
y9.1,1033.536828,544.264952
y5.1,589.351199,544.264952
y10.2,598.803716,544.264952
y12.2,676.848655,544.264952
y6.1,672.377079,645.977471
y8.1,971.540456,645.977471
y7.1,785.461143,645.977471
y9.1,1070.60887,645.977471
y10.1,1184.651798,645.977471
b8.1,866.316267,645.977471
b9.1,965.384681,645.977471
y4.1,558.322918,538.9384
b5.1,576.256508,538.9384
y5.1,657.391332,538.9384
b9.1,958.41659,538.9384
b8.1,844.373663,538.9384
b7.1,730.330736,538.9384
y6.1,771.43426,538.9384
y7.1,885.477187,538.9384
y8.1,942.498651,538.9384
b6.1,673.309272,538.9384
y11.2,667.347759,538.9384
y9.1,1039.551415,538.9384
y9.2,520.279345,538.9384
b5.2,288.631892,538.9384
y13.2,728.896136,604.989711
y9.1,1045.573213,604.989711
y8.1,917.514635,604.989711
b3.1,357.176861,604.989711
y10.1,1158.657277,604.989711
y6.1,674.429115,604.989711
y7.1,802.487692,604.989711
y14.2,785.9176,604.989711
b6.1,655.30458,604.989711
y12.2,680.369754,604.989711
y11.2,623.348291,604.989711
y13.1,1456.784997,604.989711
y15.2,850.438897,604.989711
b7.1,768.388644,604.989711
b9.1,1011.474165,604.989711
b13.2,717.834036,604.989711
y7.1,770.461478,367.88854
y6.1,673.408714,367.88854
y5.1,559.365786,367.88854
y7.2,385.734377,367.88854
y4.1,422.306874,367.88854
y8.2,421.252934,367.88854
y8.1,841.498591,367.88854
b3.1,332.196868,367.88854
y9.2,494.787141,367.88854
b6.1,680.351471,367.88854
y6.1,695.40296,546.284347
y5.1,582.318896,546.284347
y9.1,1084.572879,546.284347
y8.1,970.529951,546.284347
b7.1,814.384228,546.284347
y7.1,823.461537,546.284347
y12.2,698.351562,546.284347
b8.1,942.442805,546.284347
y10.2,611.319533,546.284347
b6.1,667.315814,546.284347
y13.2,762.38085,546.284347
b9.1,1055.526869,546.284347
b5.1,553.272886,546.284347
y11.2,654.835548,546.284347
b11.2,636.304383,546.284347
y5.1,631.325378,391.550365
y6.1,746.352321,391.550365
y4.1,534.272614,391.550365
y5.2,316.166327,391.550365
y3.1,447.240586,391.550365
y7.1,859.436385,391.550365
y7.2,430.221831,391.550365
y8.2,473.737845,391.550365
y9.2,530.279877,391.550365
b5.1,542.31844,391.550365
y5.1,646.336277,506.9384
y6.1,759.420341,506.9384
y10.2,573.303883,506.9384
y11.2,654.835548,506.9384
y9.1,1044.552812,506.9384
y7.1,858.488755,506.9384
b7.1,760.387582,506.9384
y8.1,929.525869,506.9384
y12.2,703.361929,506.9384
y9.2,522.780044,506.9384
b6.1,661.319168,506.9384
b5.1,590.282054,506.9384
b8.1,873.471646,506.9384
b10.2,570.290213,506.9384
b9.2,505.768917,506.9384
y5.1,642.377748,481.266628
y7.1,826.498926,481.266628
y6.1,755.461812,481.266628
y4.1,505.318836,481.266628
y12.2,643.351365,481.266628
y8.1,939.58299,481.266628
y13.2,671.862097,481.266628
y11.2,599.835351,481.266628
y10.2,556.319336,481.266628
y9.2,527.808604,481.266628
b8.1,687.330795,481.266628
b7.1,616.293681,481.266628
y10.1,1202.621954,687.679648
y9.1,1089.53789,687.679648
y8.1,988.490212,687.679648
y7.1,851.4313,687.679648
y6.1,794.409836,687.679648
y16.2,973.99437,687.679648
y15.2,925.467989,687.679648
y14.2,875.933782,687.679648
y13.2,782.894125,687.679648
y12.2,701.362461,687.679648
b6.1,788.3726,687.679648
b7.1,859.409714,687.679648
b8.1,972.493778,687.679648
b9.1,1073.541457,687.679648
b15.2,876.920643,687.679648
y10.1,1253.59513,707.317321
y9.1,1124.552537,707.317321
y8.1,1011.468473,707.317321
y7.1,883.409896,707.317321
y6.1,754.367303,707.317321
y15.2,939.409014,707.317321
y14.2,874.887718,707.317321
y13.2,831.371704,707.317321
y12.2,767.342415,707.317321
y11.2,710.800383,707.317321
